,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
367,Mahindra,XUV500 W5,Manual,2019.0,Diesel,2179.0,55608.0,2nd owner,860000,18695.0,True,Yes,UP14,2019 Mahindra XUV500 W5
368,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,Manual,2018.0,Petrol,1462.0,51690.0,1st owner,665000,13001.0,True,No,HR87,2018 Maruti Ciaz DELTA 1.5 SHVS MT PETROL
369,Maruti,Baleno SIGMA PETROL 1.2,Manual,2021.0,Petrol,1197.0,20654.0,1st owner,603000,11796.0,True,No,DL3C,2021 Maruti Baleno SIGMA PETROL 1.2
370,Hyundai,Creta SX AT 1.6 PETROL,Automatic,2019.0,Petrol,1591.0,47323.0,1st owner,1096000,20861.0,True,No,HR26,2019 Hyundai Creta SX AT 1.6 PETROL
371,Maruti,Baleno DELTA PETROL 1.2,Manual,2018.0,Petrol,1197.0,35462.0,1st owner,535000,10459.0,True,No,HR26,2018 Maruti Baleno DELTA PETROL 1.2
372,Hyundai,AURA S 1.2,Manual,2021.0,Petrol,1197.0,30058.0,1st owner,610000,11926.0,True,No,UP14,2021 Hyundai AURA S 1.2
373,Renault,TRIBER RXE MT,Manual,2021.0,Petrol,999.0,28929.0,1st owner,525000,10259.0,True,No,HR26,2021 Renault TRIBER RXE MT
374,Mahindra,XUV300 W8 (O) 1.5 DIESEL AMT,Automatic,2020.0,Diesel,1497.0,64038.0,1st owner,862000,16407.0,True,Yes,DL10,2020 Mahindra XUV300 W8 (O) 1.5 DIESEL AMT
375,Maruti,Baleno DELTA PETROL 1.2,Manual,2021.0,Petrol,1197.0,25705.0,1st owner,669000,13079.0,True,No,UP32,2021 Maruti Baleno DELTA PETROL 1.2
376,Maruti,Celerio ZXI AMT (O),Automatic,2018.0,Petrol,998.0,35251.0,1st owner,448000,8753.0,True,No,HR26,2018 Maruti Celerio ZXI AMT (O)
377,Mahindra,XUV300 W4 1.5 DIESEL,Manual,2019.0,Diesel,1497.0,21843.0,2nd owner,692000,15396.0,True,No,DL8C,2019 Mahindra XUV300 W4 1.5 DIESEL
378,KIA,SONET HTK PLUS 1.0 IMT,Manual,2022.0,Petrol,998.0,15612.0,1st owner,954000,18167.0,True,No,HR34,2022 KIA SONET HTK PLUS 1.0 IMT
